player,angle,length,angle_degrees
Modrić,-2.4063196,21.16908,222.12804276039157
Modrić,-2.1527014,9.097252,236.65929522809637
Modrić,-1.250922,16.854969,288.32744889993603
Modrić,-1.4083606,30.298845,279.3068815874877
Modrić,-0.8017901,12.9417925,314.0608112146278
Modrić,1.8610612,8.036168,106.63095217555241
Modrić,0.4885535,25.141201,27.992053616344663
Modrić,0.6517459,16.980577,37.3422893849554
Modrić,-0.5404195,13.411189,329.0362434834298
Modrić,-1.3734008,20.90598,281.30993058010915
Modrić,2.373434,8.203658,135.98775115285304
Modrić,-1.8175172,13.921566,255.86393524756525
Modrić,2.69325,8.766413,154.31185817360895
Modrić,0.51806855,11.51043,29.683141413462263
Modrić,-1.825732,17.0511,255.39326187802118
Modrić,0.22923194,6.1611686,13.134022691596115
Modrić,-1.0945594,24.867046,297.2863659536283
Modrić,-1.8958042,9.708244,251.37842055682458
Modrić,-1.4931748,9.027182,274.4473858847092
Modrić,-0.44872335,14.983324,334.29004587602833
Modrić,2.6078844,7.6661596,149.420769578007
Modrić,-0.1665834,22.917242,350.4554742430604
Modrić,-2.5231647,6.382006,215.43331167360748
Modrić,-0.73235065,16.003124,318.03939863133746
Modrić,-0.94232506,22.622555,306.0087511325879
Modrić,-1.7082225,9.489468,262.1260602807137
Modrić,-0.94305325,13.961734,305.9670289189043
Modrić,-1.3339475,26.84958,283.5704381579726
Modrić,-1.0445002,12.143311,300.1545468394296
Modrić,2.0639014,24.294237,118.25283955114193
Modrić,-2.7392716,25.539186,203.05129837995176
Modrić,0.86328906,29.079546,49.4628196378161
Modrić,-0.7316864,6.5855904,318.07745735287904
Modrić,-0.7853982,9.899495,314.9999979028283
Modrić,0.71589005,22.39866,41.01747846040948
Modrić,-1.2381227,31.846035,289.0607947706578
Modrić,-0.58097696,11.843142,326.71247219765917
Modrić,-0.67003286,16.585836,321.60994498692
Modrić,-0.48921022,15.747064,331.9703190993335
Modrić,-1.3140227,37.01351,284.7120451056149
Modrić,-2.884269,5.894065,194.74355931958155
Modrić,-1.0276067,6.1911225,301.1224730906339
Modrić,0.9445349,11.601724,54.11786337281126
Modrić,-1.2252407,7.971198,289.79887900234536
Modrić,-2.5498164,7.34983,213.90628174675868
Modrić,2.918116,4.5122056,167.19573092959774
Modrić,-0.88187194,4.404543,309.4724597669858
Modrić,-0.19739556,31.10402,348.69006751737857
Modrić,0.9888912,13.645879,56.65929215762739
Modrić,0.43758717,18.878824,25.071898010073674
Modrić,-1.6332152,27.253073,266.42366200338535
Modrić,-1.096539,16.8609,297.1729432285042
Modrić,-0.9305029,24.940128,306.6861110053163
Modrić,1.0286833,40.508022,58.93921154558991
Modrić,1.1597317,4.2544093,66.44773177753214
Modrić,0.8504404,18.494595,48.726645647417534
Modrić,-3.0988836,11.710679,182.4470485176932
Modrić,-1.4673929,21.313845,275.92457994253755
Modrić,-1.6226017,13.518136,267.0317707592475
Modrić,-0.38437483,19.201042,337.9769444899415
Modrić,-0.6044215,16.892899,325.3691990030335
Modrić,-1.318841,10.429286,284.435976851187
Modrić,-1.0359447,30.801622,300.6447408810538
Modrić,-1.1700029,12.815616,292.9637718119331
Modrić,1.250761,18.436106,71.66332647956236
Modrić,-2.5083828,11.660618,216.28025215679193
Modrić,-0.047583103,16.819036,357.2736890219637
Modrić,-1.2634394,37.35037,287.610254709459
Modrić,-3.038068,15.482894,185.93152572624902
Modrić,2.3660302,21.5678,135.56354466049407
Modrić,-1.1864215,9.600521,292.0230553264196
